file,image_id,ext,bytes,format,mode,w_raw,h_raw,exif_orientation,exif_datetime,exif_make,exif_model,exif_software,has_exif,w,h,sharpness,brightness,contrast,dark_frac,blown_frac,phash,ok,mp,aspect,id_num,id_padded
000023.jpg,000023,.jpg,1138713,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,872.1334076604235,143.18235778808594,49.75548841026576,0.0011494954427083333,0.0009816487630208333,d75020474f2beed1,True,12.192768,0.75,23,True
000024.jpg,000024,.jpg,895584,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,645.3948396946976,132.52471923828125,71.5009682992846,0.12875874837239584,0.0010579427083333333,b5dd334ea68b0c92,True,12.192768,0.75,24,True
000025.jpg,000025,.jpg,935712,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,927.4872283542063,134.04574584960938,46.43143675465037,0.007563273111979167,0.0037434895833333335,c583177f44d0a16f,True,12.192768,0.75,25,True
000026.jpg,000026,.jpg,953309,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,1380.8877817714947,138.1849110921224,58.47548640377879,0.01715087890625,0.0011647542317708333,cbd96d2d84b43326,True,12.192768,0.75,26,True
000027.jpg,000027,.jpg,1015342,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,523.900141345725,143.1023203531901,53.259632015365874,0.013270060221354166,0.00014241536458333334,dc0339ef3a0721da,True,12.192768,0.75,27,True
000028.jpg,000028,.jpg,1653444,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,5869.516094924856,126.9507548014323,80.37484468160862,0.15226236979166666,0.0038401285807291665,d3906c37313f066d,True,12.192768,0.75,28,True
000029.jpg,000029,.jpg,1141268,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,2630.462694886425,152.36339314778647,55.833464589730305,0.013559977213541666,0.00018819173177083334,85be7e905bc047c3,True,12.192768,0.75,29,True
000030.jpg,000030,.jpg,1552839,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,5481.94989464595,108.4744873046875,69.27609323316308,0.14517720540364584,0.004292805989583333,bb9286967e1605d5,True,12.192768,0.75,30,True
000031.jpg,000031,.jpg,819049,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,325.0589664284295,142.06615702311197,55.419870284741044,0.021174112955729168,0.0029805501302083335,d2022592b6cddb6d,True,12.192768,0.75,31,True
000032.jpg,000032,.jpg,818849,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,381.7686693394144,135.91766357421875,58.92603442149597,0.038202921549479164,0.00543212890625,c2176ed2608be6b6,True,12.192768,0.75,32,True
000033.jpg,000033,.jpg,925804,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,594.7645809101717,138.36993916829428,52.3156059781189,0.014353434244791666,0.0022125244140625,e4443bd0a51e479f,True,12.192768,0.75,33,True
000034.jpg,000034,.jpg,998628,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,449.7703686849111,136.12065633138022,50.87834496603925,0.019963582356770832,0.003936767578125,e10ebcd731316e92,True,12.192768,0.75,34,True
000035.jpg,000035,.jpg,764656,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,387.8234742308398,135.5774688720703,68.79150240531152,0.08167012532552083,0.0001068115234375,d6072f74f4c1d21c,True,12.192768,0.75,35,True
000036.jpg,000036,.jpg,890773,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,617.4050914620102,135.7196299235026,64.99148833118605,0.044652303059895836,0.0035044352213541665,c07d2fc0f38fc096,True,12.192768,0.75,36,True
000037.jpg,000037,.jpg,828567,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,492.1488017327826,144.73523457845053,61.47104219967053,0.0173797607421875,0.002227783203125,d3682dd232c4527f,True,12.192768,0.75,37,True
000038.jpg,000038,.jpg,1016001,JPEG,RGB,3024,4032,1,,,,,False,3024,4032,549.7853823316335,138.02601623535156,56.281888924858364,0.029973347981770832,0.0012919108072916667,f646aac1b0d27ad1,True,12.192768,0.75,38,True
